date,crop,market,price,rainfall,temperature
2022-01-01,maize,Embu,3034.24,106.18,31.31
2022-01-01,maize,Meru,3267.94,73.4,20.18
2022-01-01,maize,Nairobi,3006.88,58.71,30.13
2022-01-01,beans,Embu,4287.35,53.09,31.58
2022-01-01,beans,Meru,4862.19,174.87,20.97
2022-01-01,beans,Nairobi,4378.1,95.64,25.35
2022-01-01,tomatoes,Embu,2429.85,114.79,22.08
2022-01-01,tomatoes,Meru,2569.38,93.82,23.13
2022-01-01,tomatoes,Nairobi,2525.71,118.41,28.99
2022-02-01,maize,Embu,3036.36,138.86,18.65
2022-02-01,maize,Meru,3177.78,141.13,20.39
2022-02-01,maize,Nairobi,3221.59,152.63,24.16
2022-02-01,beans,Embu,4507.39,68.31,24.93
2022-02-01,beans,Meru,4234.0,96.76,25.28
2022-02-01,beans,Nairobi,4895.97,132.01,20.59
2022-02-01,tomatoes,Embu,2435.77,63.27,20.74
2022-02-01,tomatoes,Meru,2037.12,56.78,22.55
2022-02-01,tomatoes,Nairobi,2767.69,174.31,22.99
2022-03-01,maize,Embu,3013.56,92.14,25.6
2022-03-01,maize,Meru,2592.57,61.18,31.82
2022-03-01,maize,Nairobi,3619.74,165.84,20.78
2022-03-01,beans,Embu,5133.98,165.69,19.04
2022-03-01,beans,Meru,4692.66,103.77,19.62
2022-03-01,beans,Nairobi,4815.49,99.63,18.89
2022-03-01,tomatoes,Embu,2694.69,96.65,22.55
2022-03-01,tomatoes,Meru,3194.44,183.08,24.61
2022-03-01,tomatoes,Nairobi,2352.27,67.94,27.99
2022-04-01,maize,Embu,3637.57,165.65,24.91
2022-04-01,maize,Meru,3179.75,128.41,23.99
2022-04-01,maize,Nairobi,2923.57,97.15,25.12
2022-04-01,beans,Embu,5296.45,186.13,21.49
2022-04-01,beans,Meru,4436.39,84.32,19.08
2022-04-01,beans,Nairobi,4745.25,93.46,20.26
2022-04-01,tomatoes,Embu,3006.26,170.55,20.61
2022-04-01,tomatoes,Meru,2767.99,183.88,25.55
2022-04-01,tomatoes,Nairobi,2375.83,84.19,23.98
2022-05-01,maize,Embu,3263.53,172.7,30.05
2022-05-01,maize,Meru,3093.95,112.61,21.11
2022-05-01,maize,Nairobi,2853.11,67.98,22.73
2022-05-01,beans,Embu,4663.06,127.82,27.84
2022-05-01,beans,Meru,4006.87,104.54,31.6
2022-05-01,beans,Nairobi,4588.0,92.73,18.52
2022-05-01,tomatoes,Embu,2667.95,141.43,25.04
2022-05-01,tomatoes,Meru,2421.93,71.73,24.85
2022-05-01,tomatoes,Nairobi,3290.03,197.85,21.39
2022-06-01,maize,Embu,3014.71,85.65,28.2
2022-06-01,maize,Meru,3106.16,105.17,26.85
2022-06-01,maize,Nairobi,3161.92,63.54,29.69
2022-06-01,beans,Embu,4598.29,98.12,20.61
2022-06-01,beans,Meru,4792.83,151.63,18.23
2022-06-01,beans,Nairobi,4498.19,126.81,21.17
2022-06-01,tomatoes,Embu,2894.64,153.64,23.41
2022-06-01,tomatoes,Meru,2897.39,190.51,19.93
2022-06-01,tomatoes,Nairobi,2773.45,188.7,30.28
2022-07-01,maize,Embu,2944.15,88.69,27.24
2022-07-01,maize,Meru,3480.95,129.45,21.39
2022-07-01,maize,Nairobi,2760.58,63.97,30.56
2022-07-01,beans,Embu,4702.86,100.85,22.89
2022-07-01,beans,Meru,4733.37,158.89,30.56
2022-07-01,beans,Nairobi,4917.25,146.3,19.18
2022-07-01,tomatoes,Embu,2318.24,74.24,30.58
2022-07-01,tomatoes,Meru,2205.9,50.76,20.25
2022-07-01,tomatoes,Nairobi,2369.56,132.31,27.69
2022-08-01,maize,Embu,3489.02,156.83,21.32
2022-08-01,maize,Meru,3117.71,98.81,28.45
2022-08-01,maize,Nairobi,3306.64,148.64,25.96
2022-08-01,beans,Embu,4179.39,64.05,23.15
2022-08-01,beans,Meru,4846.53,195.95,23.5
2022-08-01,beans,Nairobi,4884.92,183.81,26.84
2022-08-01,tomatoes,Embu,2975.48,136.54,24.9
2022-08-01,tomatoes,Meru,2119.97,79.29,28.11
2022-08-01,tomatoes,Nairobi,2924.74,191.07,31.36
2022-09-01,maize,Embu,3567.15,187.23,23.18
2022-09-01,maize,Meru,3359.31,194.54,29.94
2022-09-01,maize,Nairobi,2913.71,94.17,23.39
2022-09-01,beans,Embu,4532.49,75.42,25.8
2022-09-01,beans,Meru,4720.46,190.42,27.74
2022-09-01,beans,Nairobi,4604.79,142.25,31.86
2022-09-01,tomatoes,Embu,2421.49,71.01,25.26
2022-09-01,tomatoes,Meru,2828.22,154.55,27.83
2022-09-01,tomatoes,Nairobi,2680.42,103.92,22.11
2022-10-01,maize,Embu,3387.35,180.06,30.79
2022-10-01,maize,Meru,3247.26,126.7,25.02
2022-10-01,maize,Nairobi,3420.77,155.3,29.14
2022-10-01,beans,Embu,4808.3,183.5,22.73
2022-10-01,beans,Meru,4766.28,136.74,18.5
2022-10-01,beans,Nairobi,4724.51,119.84,25.6
2022-10-01,tomatoes,Embu,2079.87,54.58,18.52
2022-10-01,tomatoes,Meru,2918.95,173.39,23.04
2022-10-01,tomatoes,Nairobi,2691.52,165.5,21.02
2022-11-01,maize,Embu,3342.38,143.43,19.19
2022-11-01,maize,Meru,2986.68,131.1,26.92
2022-11-01,maize,Nairobi,2756.3,158.91,31.66
2022-11-01,beans,Embu,4947.85,169.28,21.79
2022-11-01,beans,Meru,4798.26,115.85,19.1
2022-11-01,beans,Nairobi,4821.34,111.34,20.43
2022-11-01,tomatoes,Embu,2790.35,73.47,21.5
2022-11-01,tomatoes,Meru,2887.76,149.03,21.92
2022-11-01,tomatoes,Nairobi,3323.97,193.23,28.33
2022-12-01,maize,Embu,3341.83,112.94,21.47
2022-12-01,maize,Meru,3033.55,103.4,28.61
2022-12-01,maize,Nairobi,3373.16,121.13,19.37
2022-12-01,beans,Embu,4575.63,123.74,24.63
2022-12-01,beans,Meru,4266.88,109.78,26.62
2022-12-01,beans,Nairobi,5141.89,145.26,18.63
2022-12-01,tomatoes,Embu,2240.36,125.47,29.99
2022-12-01,tomatoes,Meru,2878.21,148.8,20.28
2022-12-01,tomatoes,Nairobi,2125.82,53.98,26.2
2023-01-01,maize,Embu,3751.24,191.03,26.06
2023-01-01,maize,Meru,2833.35,118.74,25.64
2023-01-01,maize,Nairobi,3544.19,191.22,23.41
2023-01-01,beans,Embu,4229.54,60.68,22.47
2023-01-01,beans,Meru,4899.27,176.73,18.33
2023-01-01,beans,Nairobi,4453.46,67.72,27.75
2023-01-01,tomatoes,Embu,2778.59,144.34,30.28
2023-01-01,tomatoes,Meru,2677.77,92.31,20.48
2023-01-01,tomatoes,Nairobi,2722.87,162.59,29.3
2023-02-01,maize,Embu,2975.08,105.8,28.87
2023-02-01,maize,Meru,2841.45,101.12,31.03
2023-02-01,maize,Nairobi,3461.64,162.63,28.56
2023-02-01,beans,Embu,4475.72,65.47,30.64
